vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
1,0,49108.1,3529.235453,0.229759,5.14487,0.194806,5,
1,1,45430.6,3264.945787,0.0973658,0.888286,0.047252,5,
1,11,71438.5,5134.046867,0.340668,17.6879,0.132865,5,
1,12,98643.7,7089.193907,0.520078,28.8769,0.10181,5,
1,13,137092,9852.345067,1.21749,26.624,0.192426,5,
1,14,173224,12449.03147,2.14948,38.2006,0.261749,5,
1,15,206566,14845.20987,3.80958,55.3943,0.364897,5,
1,16,249490,17930.01467,7.94494,93.4676,0.582871,5,
1,21,97188.1,6984.584787,0.673697,23.0539,0.198885,5,
1,22,110627,7950.393733,1.09425,30.5452,0.182652,5,
1,23,134738,9683.170933,1.65427,39.2821,0.196918,5,
1,24,172859,12422.80013,2.78815,57.4233,0.375763,5,
1,25,230681,16578.27453,3.91019,65.1704,0.374356,5,
1,27,304105,21855.01267,6.15703,97.8713,0.591595,5,
1,28,409910,29458.86533,13.5442,239.236,3.83716,5,
1,29,561579,40358.8108,23.78,506.665,6.81259,5,
1,30,705222,50681.9544,31.2858,1779.51,11.2472,5,
1,33,138464,9950.946133,1.43587,17.3093,0.191052,5,
1,35,222029,15956.48413,3.96107,29.556,0.26531,5,
1,37,289230,20785.996,5.53516,43.5059,0.339971,5,
1,38,377141,27103.86653,11.5005,219.276,2.59111,5,
1,39,502344,36101.7888,17.1198,231.372,3.76239,5,
1,40,640368,46021.1136,21.5621,679.994,4.91914,5,
2,0,82370.96009,5919.726332,1.078627322,12.38633637,0.331543633,5,
2,1,63507.14932,4564.047131,0.421034062,11.18301623,0.140356879,5,
2,11,102737.2521,7383.383848,1.471395482,24.70854344,0.463375913,5,
2,12,128534.4034,9237.339121,1.422185571,10.73432315,0.354716324,5,
2,13,184907.2355,13288.66666,3.188539057,33.32622379,0.748735576,5,
2,14,234267.8051,16836.04626,5.085104546,47.47629325,0.920449752,5,
2,15,282476.1892,20300.62213,6.929249133,68.93241115,1.223862336,5,
2,16,352833.9782,25357.0019,12.63352873,109.3314472,1.80154702,5,
2,21,137414.4197,9875.516295,2.79127373,25.25215379,0.39815033,5,
2,22,147541.519,10603.31717,4.562227618,34.56700844,0.601029775,5,
2,23,182192.0545,13093.53565,4.872597936,44.42274368,0.706748523,5,
2,24,236014.1211,16961.54817,7.30472543,78.26625847,0.971211458,5,
2,25,303073.8939,21780.91051,8.828557449,60.10983306,0.855109212,5,
2,27,417303.3801,29990.20292,10.36952551,100.8985364,0.971975332,5,
2,28,557178.8563,40042.58714,20.3868211,370.7716121,6.661067809,5,
