Vehicle Selection Mode,--,Network-wide,--
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_2,127.77
,,44_46, 1.59
Category,Distance Bin (2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_2,65058.25
,,44_46,93658.95
Category,Distance Bin (2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_2,26.17
,,44_46,61.86
Category,Distance Bin (2 ml Interval),Avg Miles per Gallon,
,,0_2,766.52
,,44_46,68282.43
Category,Distance Bin (5 ml Interval),Number of Vehicles,
,,0_5,2486.00
,,45_50,1514.00
Category,Distance Bin (5 ml Interval),Cumulative Number of Vehicles,
,,0_5,2486.00
,,45_50,4000.00
Category,Distance Bin (5 ml Interval),Total Travel Time (min),
,,0_5,65058.25
,,45_50,93658.95
Category,Distance Bin (5 ml Interval),Total Travel Distance (mile),
,,0_5,766.52
,,45_50,68282.43
Category,Distance Bin (5 ml Interval),Avg Travel Time (min),
,,0_5,26.17
,,45_50,61.86
Category,Distance Bin (5 ml Interval),Avg Travel Distance (mile),
,,0_5, 0.31
,,45_50,45.10
Category,Distance Bin (5 ml Interval),Avg Speed (mile/hour),
,,0_5, 0.71
,,45_50,43.74
Category,Distance Bin (5 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_5,84.88
,,45_50, 1.37
Category,Distance Bin (5 ml Interval),Travel Time Index: mean/FFTT,
,,0_5,1250.75
,,45_50, 1.37
Category,Distance Bin (5 ml Interval),Avg Travel Time STD (min),
,,0_5,18.50
,,45_50, 9.39
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time (min),
,,0_5,69.87
,,45_50,77.84
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time (min),
,,0_5,42.49
,,45_50,75.69
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time (min),
,,0_5,39.39
,,45_50,71.60
Category,Distance Bin (5 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_5,3339.32
,,45_50, 1.73
Category,Distance Bin (5 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_5, 1.67
,,45_50, 0.26
Category,Distance Bin (5 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_5, 0.94
,,45_50, 1.32
Category,Distance Bin (5 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_5,60.00
,,45_50, 0.21
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_5,226.61
,,45_50, 1.73
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
