name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1357,1,no_control,0,-111.914302,40.565109,"<Point><coordinates>-111.914302,40.565109</coordinates></Point>"
,1358,1,no_control,0,-111.911502,40.583522,"<Point><coordinates>-111.911502,40.583522</coordinates></Point>"
,1359,1,no_control,0,-111.911824,40.577722,"<Point><coordinates>-111.911824,40.577722</coordinates></Point>"
,1360,1,no_control,0,-111.901834,40.584029,"<Point><coordinates>-111.901834,40.584029</coordinates></Point>"
,1361,1,no_control,0,-111.902492,40.575680,"<Point><coordinates>-111.902492,40.575680</coordinates></Point>"
,1397,1,no_control,0,-111.936589,40.553565,"<Point><coordinates>-111.936589,40.553565</coordinates></Point>"
,1404,1,no_control,0,-111.908153,40.571760,"<Point><coordinates>-111.908153,40.571760</coordinates></Point>"
,3689,1,no_control,0,-111.900748,40.562521,"<Point><coordinates>-111.900748,40.562521</coordinates></Point>"
,4156,4,4way_stop_sign,0,-111.900942,40.585620,"<Point><coordinates>-111.900942,40.585620</coordinates></Point>"
,4804,4,4way_stop_sign,0,-111.910307,40.602331,"<Point><coordinates>-111.910307,40.602331</coordinates></Point>"
,4899,1,no_control,0,-111.910202,40.625016,"<Point><coordinates>-111.910202,40.625016</coordinates></Point>"
,4952,1,no_control,0,-111.929251,40.616674,"<Point><coordinates>-111.929251,40.616674</coordinates></Point>"
,4958,1,no_control,0,-111.910232,40.618529,"<Point><coordinates>-111.910232,40.618529</coordinates></Point>"
,5009,5,pretimed_signal,0,-111.913172,40.610470,"<Point><coordinates>-111.913172,40.610470</coordinates></Point>"
,5010,5,pretimed_signal,0,-111.910268,40.616808,"<Point><coordinates>-111.910268,40.616808</coordinates></Point>"
,5017,1,no_control,0,-111.938751,40.609517,"<Point><coordinates>-111.938751,40.609517</coordinates></Point>"
,5018,1,no_control,0,-111.938855,40.616737,"<Point><coordinates>-111.938855,40.616737</coordinates></Point>"
,5022,5,pretimed_signal,0,-111.929163,40.609415,"<Point><coordinates>-111.929163,40.609415</coordinates></Point>"
,5027,5,pretimed_signal,0,-111.910314,40.610655,"<Point><coordinates>-111.910314,40.610655</coordinates></Point>"
,5030,1,no_control,0,-111.910235,40.620919,"<Point><coordinates>-111.910235,40.620919</coordinates></Point>"
,5034,1,no_control,0,-111.902815,40.610924,"<Point><coordinates>-111.902815,40.610924</coordinates></Point>"
,5037,1,no_control,0,-111.904767,40.620808,"<Point><coordinates>-111.904767,40.620808</coordinates></Point>"
