zone_id,geometry
50,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.022538,40.686220,0.0 -112.022551,40.686220,0.0 -112.021236,40.686249,0.0 -112.019024,40.686275,0.0 -112.018765,40.686109,0.0 -112.018331,40.685187,0.0 -112.019627,40.683932,0.0 -112.021823,40.683981,0.0 -112.022284,40.685071,0.0 -112.022538,40.686220,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
51,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.997325,40.685573,0.0 -111.996973,40.686500,0.0 -111.996098,40.686609,0.0 -111.994723,40.686606,0.0 -111.993558,40.686424,0.0 -111.993550,40.685264,0.0 -111.996573,40.685202,0.0 -111.997325,40.685573,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
52,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.987198,40.686008,0.0 -111.986641,40.686530,0.0 -111.986639,40.687250,0.0 -111.986591,40.687752,0.0 -111.984108,40.687447,0.0 -111.984107,40.687397,0.0 -111.983284,40.686074,0.0 -111.984182,40.685126,0.0 -111.986907,40.684957,0.0 -111.987198,40.686008,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
53,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.979491,40.684998,0.0 -111.979555,40.685037,0.0 -111.977584,40.683953,0.0 -111.977721,40.681366,0.0 -111.981952,40.680453,0.0 -111.985434,40.681432,0.0 -111.985994,40.683830,0.0 -111.983703,40.685088,0.0 -111.982158,40.685823,0.0 -111.979491,40.684998,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.968081,40.688594,0.0 -111.968093,40.688574,0.0 -111.967567,40.688595,0.0 -111.967359,40.688843,0.0 -111.966728,40.689200,0.0 -111.965112,40.689108,0.0 -111.964380,40.687861,0.0 -111.964679,40.686267,0.0 -111.967428,40.685754,0.0 -111.969577,40.686346,0.0 -111.969314,40.687527,0.0 -111.968081,40.688594,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.961378,40.689113,0.0 -111.961176,40.689753,0.0 -111.959807,40.689925,0.0 -111.959218,40.690695,0.0 -111.959301,40.689544,0.0 -111.958989,40.689348,0.0 -111.958340,40.688859,0.0 -111.959098,40.688158,0.0 -111.960855,40.688239,0.0 -111.961378,40.689113,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
56,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.948231,40.694012,0.0 -111.947887,40.696728,0.0 -111.946570,40.698976,0.0 -111.944969,40.699070,0.0 -111.943683,40.698225,0.0 -111.943284,40.694444,0.0 -111.948231,40.694012,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
57,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.968516,40.705174,0.0 -111.968493,40.705209,0.0 -111.970071,40.708559,0.0 -111.965802,40.708752,0.0 -111.964396,40.706850,0.0 -111.965939,40.705149,0.0 -111.968516,40.705174,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
58,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.974615,40.687769,0.0 -111.974662,40.687839,0.0 -111.973388,40.684930,0.0 -111.978569,40.685827,0.0 -111.979651,40.687872,0.0 -111.977060,40.689013,0.0 -111.974712,40.688475,0.0 -111.974615,40.687769,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
59,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.981862,40.705261,0.0 -111.981792,40.705244,0.0 -111.984024,40.705764,0.0 -111.983373,40.708858,0.0 -111.979496,40.708750,0.0 -111.979922,40.706541,0.0 -111.980325,40.705137,0.0 -111.981862,40.705261,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.007946,40.683286,0.0 -112.007865,40.683225,0.0 -112.003877,40.684842,0.0 -111.998899,40.683879,0.0 -111.996118,40.679399,0.0 -112.003331,40.676630,0.0 -112.009213,40.679712,0.0 -112.007946,40.683286,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
