agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
235,235,14,11,5037,5119,934.14,940.60,6.46,1,1,10.00,1,5,2.88,
236,236,1,31,5577,8002,934.14,937.40,3.26,1,1,10.00,1,5,1.72,
237,237,7,14,11281,5037,934.14,945.70,11.56,1,1,10.00,1,15,6.21,
238,238,14,28,5037,1359,934.16,941.00,6.84,1,1,10.00,1,5,3.06,
239,239,1,14,5577,5037,934.21,937.70,3.49,1,1,10.00,1,10,2.03,
240,240,11,32,5119,1285,934.21,942.20,7.99,1,1,10.00,1,10,4.32,
241,241,18,7,1286,11281,934.22,946.20,11.98,1,1,10.00,1,10,5.92,
242,242,3,14,11159,5037,934.24,941.30,7.06,1,1,10.00,1,15,3.77,
243,243,11,36,5119,1299,934.28,940.10,5.82,1,1,10.00,1,15,2.39,
244,244,14,41,5037,5578,934.29,938.30,4.01,1,1,10.00,1,0,2.28,
245,245,18,9,1286,5356,934.29,950.20,15.91,1,1,10.00,1,10,6.32,
246,246,41,14,5578,5037,934.29,938.20,3.91,1,1,10.00,1,10,2.28,
247,247,18,24,1286,1325,934.29,942.70,8.41,1,1,10.00,1,10,4.05,
248,248,31,21,8116,6253,934.29,941.60,7.31,1,1,10.00,1,5,4.08,
249,249,3,32,11159,1285,934.29,938.50,4.21,1,1,10.00,1,15,2.49,
250,250,28,41,1359,5578,934.29,943.40,9.11,1,1,10.00,1,5,5.03,
251,251,11,14,5119,5037,934.29,940.70,6.41,1,1,10.00,1,15,2.88,
252,252,27,38,1348,1397,934.31,938.70,4.39,1,1,10.00,1,10,2.09,
253,253,32,38,1285,1397,934.36,943.60,9.24,1,1,10.00,1,5,4.82,
254,254,4,17,11180,1289,934.37,941.10,6.73,1,1,10.00,1,0,3.57,
255,255,3,11,11159,5119,934.41,939.20,4.79,1,1,10.00,1,10,2.34,
256,256,2,39,11123,1404,934.42,943.60,9.18,1,1,10.00,1,5,4.66,
257,257,14,7,5037,11281,934.43,945.50,11.07,1,1,10.00,1,0,6.21,
258,258,34,13,1320,5034,934.44,937.40,2.96,1,1,10.00,1,0,1.65,
259,259,1,16,5577,11827,934.44,936.00,1.56,1,1,10.00,1,5,0.87,
260,260,1,19,5577,1352,934.44,941.70,7.26,1,1,10.00,1,5,4.30,
261,261,27,14,1348,5037,934.44,941.80,7.36,1,1,10.00,1,15,4.01,
262,262,1,22,5577,3689,934.44,945.90,11.46,1,1,10.00,1,15,5.45,
263,263,3,41,11159,5578,934.44,939.40,4.96,1,1,10.00,1,5,3.20,
264,264,5,21,11282,6253,934.44,938.30,3.86,1,1,10.00,1,5,2.14,
265,265,37,21,1353,6253,934.44,939.70,5.26,1,1,10.00,1,0,2.50,
266,266,33,13,1351,5034,934.53,943.20,8.67,1,1,10.00,1,15,4.63,
267,267,3,21,11159,6253,934.56,941.30,6.74,1,1,10.00,1,10,3.88,
268,268,2,24,11123,1325,934.62,941.40,6.78,1,1,10.00,1,15,3.35,
269,269,9,24,5356,1325,934.62,939.20,4.58,1,1,10.00,1,10,2.15,
270,270,17,24,1289,1325,934.62,942.00,7.38,1,1,10.00,1,0,3.32,
271,271,31,13,8116,5034,934.62,938.70,4.08,1,1,10.00,1,10,2.04,
272,272,7,21,11281,6253,934.62,938.20,3.58,1,1,10.00,1,10,1.81,
273,273,41,21,5578,6253,934.62,946.30,11.68,1,1,10.00,1,0,6.57,
274,274,34,41,1322,5578,934.62,937.50,2.88,1,1,10.00,1,10,1.81,
275,275,34,11,1322,5119,934.62,938.90,4.28,1,1,10.00,1,15,2.06,
276,276,11,21,5119,6253,934.62,939.60,4.98,1,1,10.00,1,0,2.24,
277,277,1,21,5577,6253,934.62,945.70,11.08,1,1,10.00,1,10,6.32,
278,278,32,14,1285,5037,934.62,939.20,4.58,1,1,10.00,1,5,2.59,
279,279,17,9,1289,5356,934.62,946.20,11.58,1,1,10.00,1,10,5.35,
280,280,2,23,11123,1361,934.65,944.40,9.75,1,1,10.00,1,0,4.76,
281,281,3,24,11159,1325,934.66,940.40,5.74,1,1,10.00,1,15,2.63,
