from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
41,27,7,7,31.0912,3.4431
41,28,10,10,51.34,5.0255
41,30,5,5,51.7287,5.21748
41,31,14,14,18.95,1.9679
41,32,9,9,2.157,1.1828
41,33,4,4,41.6829,4.5535
41,34,22,22,18.4273,1.81323
41,35,3,3,3.24766,1.7047
41,36,5,5,4.24672,2.3589
41,37,10,10,36.54,3.4308
41,38,9,9,43.6061,5.5269
41,39,4,4,54.6618,5.83833
41,40,1,1,4.96204,2.6559
